unit_id,array_id,region,mean_SNR,mean_latency,mean_reliability,oracle_correlation
644,10,IT,2.1265867918699275,90.0,0.6712287855133785,0.8126681624222354
645,10,IT,2.597119712597131,69.0,0.6495520550400238,0.7986202202523477
646,10,IT,0.41158950170592107,73.5,0.49942373807820223,0.6953455658647285
647,10,IT,0.009158331662631138,17.25,-0.0005458355265439939,-0.003689666248440739
648,10,IT,0.01850080037248812,4.25,-0.0015082218089554967,-0.002399143356753523
649,10,IT,0.059014856484914446,-11.5,-0.00811605873672288,-0.05082509476922947
650,10,IT,0.07437644394431953,11.5,0.016038983813213652,0.07100470601579396
651,10,IT,1.7782705989662397,77.75,0.3177545743076271,0.5508610366610822
652,10,IT,2.701683729472774,69.75,0.5850190019123823,0.7557548382733298
653,10,IT,1.99144462427228,61.0,0.31381082076535405,0.5435149121794823
654,10,IT,11.359930649170085,76.0,0.5604114038545874,0.7388333364522516
655,10,IT,0.03367785635666054,-41.0,-6.457189743334551e-05,0.00024472219080408917
656,10,IT,3.135672395769073,69.25,0.444856930747755,0.6533453841092148
657,10,IT,0.005453448985892479,-10.5,0.0011539458768175077,0.009860454011443427
658,10,IT,0.4352133665819799,104.25,0.08693049975533008,0.24174668119102036
659,10,IT,0.5834441902463764,6.5,0.15207965489989797,0.36604418780272036
660,10,IT,1.430397935145339,117.0,0.5004749526476137,0.6960841259393822
661,10,IT,2.462472165074305,65.25,0.4002679552908321,0.6170147260782014
662,10,IT,1.6473347222579617,67.25,0.17754921514059976,0.3914619167600817
663,10,IT,1.3547017668540866,71.75,0.18837917804773652,0.40469090199466967
664,10,IT,0.011624864738331296,11.25,0.010708681773440334,0.05718460567629414
665,10,IT,0.5836311084092847,62.75,0.14370043951490474,0.3430743612987491
666,10,IT,1.699376092552228,89.0,0.4247036949110496,0.6371076108783941
667,10,IT,2.266264486919,96.25,0.6424323495198799,0.7940496857487882
668,10,IT,1.443346945842922,78.0,0.29568227397702085,0.5287933951326454
669,10,IT,1.2637592047725763,76.0,0.08733746920200831,0.25238070398410584
670,10,IT,1.3928714246746163,64.0,0.12631350315163883,0.3225380107529038
671,10,IT,1.314745118003064,72.0,0.2275234268906395,0.45083866099176606
672,10,IT,1.0323838725003966,75.25,0.2961664853861214,0.523552404933259
673,10,IT,1.4371316777351808,80.25,0.43963116087218845,0.6491006492892243
674,10,IT,1.099432965503678,98.25,0.6085946437319149,0.7721245199693944
675,10,IT,0.7365326586380577,104.0,0.37548042561926914,0.5892797226826525
676,10,IT,0.9290773927741166,75.75,0.061601421206963776,0.1978322947666155
677,10,IT,0.9330713932556075,76.0,0.056052216874461686,0.1859103680034753
678,10,IT,1.2748255213727178,82.0,0.1169970910632708,0.3063845818998939
679,10,IT,1.1877845278155101,81.75,0.102636258632571,0.2814567576763407
680,10,IT,3.4207718085649605,68.5,0.6575687913422932,0.8038224390758438
681,10,IT,2.3657078821127238,72.5,0.4939663575066032,0.6919738504504661
682,10,IT,1.8106675828650727,56.5,0.38852453788601876,0.6146351780656379
683,10,IT,1.0306709566693233,69.0,0.08441958334320895,0.2497577471765137
684,10,IT,0.838914345157957,64.0,0.044885482342558784,0.16234782601249942
685,10,IT,1.1827464142416582,75.0,0.07808967395271424,0.232890414261238
686,10,IT,4.418033223841324,83.0,0.44498052044521014,0.6535740046258985
687,10,IT,2.599320779547835,81.75,0.2675257306855113,0.49840789061292257
688,10,IT,1.4160400238633093,53.75,0.4698100378672932,0.6804795207028005
689,10,IT,1.8131365176293601,74.5,0.45727561128004507,0.6626586759249196
690,10,IT,0.6545289088062203,42.5,0.13648394978568748,0.33004929453610177
691,10,IT,1.3181487457824608,70.0,0.15804942455654167,0.36668580175839005
692,10,IT,1.0169610933295523,77.0,0.09887919993695159,0.27267149574542576
693,10,IT,1.0655756923477724,78.75,0.10946954604831602,0.2910409008976561
694,10,IT,3.0600374278232945,71.25,0.17413001208225187,0.38546860975486014
695,10,IT,4.050192500946433,72.75,0.41057710718968066,0.634337286417646
696,10,IT,1.9441641479312495,77.25,0.6688870997880112,0.8110868060486196
697,10,IT,0.7981949494470628,92.0,0.3514326884361787,0.5749923846460175
698,10,IT,0.9761804194547858,101.0,0.25060916252243726,0.47895105857269427
699,10,IT,0.7195705118988152,98.75,0.12181094425926205,0.312093175213161
700,10,IT,1.0065656349931302,77.5,0.10917462137635067,0.29108533236159534
701,10,IT,1.0362109263512735,77.5,0.10739183520092373,0.2869085097629937
702,10,IT,1.63038465290219,73.25,0.3964103604052447,0.6165315653712419
703,10,IT,4.646638754961259,62.0,0.6766612538707043,0.815912172260726
704,11,IT,0.7200107704090598,58.75,0.20952189257961926,0.42566092048461635
705,11,IT,0.594906189093612,72.0,0.34568372620143484,0.5698261342792491
706,11,IT,0.5441952540692139,83.0,0.10165943606537961,0.29388542224514524
707,11,IT,1.6243198091629654,78.5,0.44037915250501714,0.635927129582344
708,11,IT,0.9623513607004335,88.5,0.43491070554748334,0.6168875203262368
709,11,IT,0.8033172710829923,65.0,0.07520499315236197,0.2520966184557483
710,11,IT,1.7999946627263264,47.25,0.05779632617495932,0.2231306978181373
711,11,IT,4.759764749619329,71.25,0.7706449447791549,0.8734062546719347
712,11,IT,0.7836022088985324,39.5,0.1923913250334978,0.4176606777596791
713,11,IT,0.865064149189479,54.5,0.22079293793649693,0.45077746420506054
714,11,IT,0.859984544973261,81.5,0.22190457757240414,0.44503577003935996
715,11,IT,1.4254314854001626,79.25,0.3826627646254631,0.602295701946232
716,11,IT,0.9101451632048466,69.25,0.13814646152314147,0.33852637669778385
717,11,IT,2.263208667684231,83.75,0.6193395778763038,0.7788811914410992
718,11,IT,4.446445511955097,78.25,0.6259846783081945,0.7831904860971518
719,11,IT,5.451707866947329,71.5,0.8228356041709413,0.9038130903445487
720,11,IT,0.9367915528233868,77.25,0.4885292734992967,0.6868062231806012
721,11,IT,1.4980351357483626,89.0,0.5416562235821423,0.7255672888047197
722,11,IT,0.9774636473642484,59.25,0.20974376647700224,0.437593210627721
723,11,IT,1.4219265710804683,79.5,0.248445842154767,0.4457101375406733
724,11,IT,1.5482319874856436,79.25,0.28028459383499416,0.5074369794825799
725,11,IT,1.5353611750692966,82.0,0.24610559366576554,0.47270197371666367
726,11,IT,4.233794098741089,78.25,0.6048428907947719,0.7692186239111923
727,11,IT,5.0847599213547285,74.5,0.5595510994947491,0.7336509380696872
728,11,IT,1.1442962651553836,78.25,0.29346645732182935,0.5207337208004743
729,11,IT,1.1269430019842415,86.5,0.5339785733758863,0.7200831740421971
